country,deaths per million,Long,Lat
Afghanistan,9463,67.709953,35.33911
Angola,8357,17.8739,-9.8027
Albania,7081,20.1683,42.5533
Andorra,8999,1.5218,43.9063
United Arab Emirates,1753,53.847818,24.824076
Argentina,7581,-63.6167,-37.0161
Armenia,9108,45.0382,41.4691
Antigua and Barbuda,6096,-61.7964,18.4608
Australia,7175,149.0124,-34.0735
Austria,9262,14.5501,48.9162
Azerbaijan,6275,47.5769,41.5431
Burundi,11863,29.9189,-1.9731
Belgium,10276,4.3517,52.2503
Benin,7920,2.3158,10.7077
Burkina Faso,12119,-1.5616,13.6383
Bangladesh,5932,90.3563,25.085
Bulgaria,14884,25.4858,44.1339
Bahrain,2297,50.55,27.4275
Bahamas,5033,-78.035889,26.425885
Bosnia and Herzegovina,9467,17.6791,45.3159
Belarus,14453,27.9534,55.1098
Belize,5281,-88.4976,18.5899
Bolivia,5494,-63.5887,-14.8902
Brazil,6196,-49.8362,-14.427
Barbados,8454,-59.5432,14.5939
Brunei Darussalam,3352,114.55,4.56
Bhutan,5841,90.4336,28.9142
Botswana,5397,24.6849,-20.9285
Central African Republic,17949,20.9394,8.0111
Canada,7935,-85.3232,52.6538
Switzerland,8520,8.2275,48.2182
Chile,5912,-70.6505,-32.0376
China,6188,116.4142,41.5824
Cote d'Ivoire,11455,-5.5471,8.94
Cameroon,9944,11.5021,5.248
"Congo, the Democratic Republic of the",11851,15.18,-4.18
Congo,10020,15.14,-4.14
Colombia,4940,-74.0721,6.111
Comoros,7547,43.3333,-10.2455
Cape Verde,4621,-23.3,14.55
Costa Rica,4180,-83.7534,11.1489
Cuba,8185,-77.781167,22.921757
Cyprus,6894,33.4299,36.5264
Czech Republic,10277,14.25,50.05
Germany,10438,13.405,53.92
Djibouti,7554,42.5903,13.2251
Dominica,6843,-61.371,16.815
Denmark,10210,9.5018,57.6639
Dominican Republic,5999,-70.1627,20.1357
Algeria,3922,1.6596,29.4339
Ecuador,4485,-78.1834,-0.4312
Egypt,6003,30.802498,28.220553
Eritrea,8099,39.7823,16.5794
Spain,9106,-3.7038,41.8168
Estonia,11520,25.0136,59.9953
Ethiopia,8496,40.4897,10.545
Finland,9454,25.748151,63.32411
Fiji,7489,178.065,-16.3134
France,9036,2.2137,47.6276
"Micronesia, Federated States of",7389,158.09,-6.54
Gabon,10616,11.6094,0.5963
United Kingdom,9673,-1.1743,53.7555
Georgia,11181,43.3569,43.7154
Ghana,7335,-1.0232,9.3465
Guinea,10191,-9.6966,11.3456
Gambia,7602,-15.3101,14.8432
Guinea-Bissau,11496,-15.1804,13.2037
Equatorial Guinea,10836,10.2679,3.0508
Greece,11063,21.8243,40.4742
Grenada,8007,-61.679,13.5165
Guatemala,5449,-90.2308,17.1835
Guyana,7445,-58.93018,6.260416
Honduras,5142,-86.2419,16.6
Croatia,11817,15.2,46.5
Haiti,26777,-72.2852,20.3712
Hungary,13192,19.5033,48.5625
Indonesia,6536,113.9213,0.6107
India,8112,77.10898,30.046519
Ireland,6621,-7.6921,54.5424
"Iran, Islamic Republic of",4757,51,35
Iraq,4728,43.679291,34.623191
Iceland,6117,-19.0208,66.3631
Israel,5592,34.851612,32.446051
Italy,10383,12.48366722,43.29277044
Jamaica,6273,-77.2975,19.5096
Jordan,3334,36.51,32.64
Japan,10103,139.446921,37.111343
Kazakhstan,9692,66.9237,49.4196
Kenya,6905,37.9062,1.3764
Kyrgyzstan,7377,74.766098,42.60438
Cambodia,6065,104.9167,12.95
Kiribati,8440,172.54,1.25
"Korea, Republic of",5889,126.58,37.33
Kuwait,2448,47.481766,30.71166
Lao People's Democratic Republic,7087,102.48,18.01
Lebanon,4562,35.8623,35.2547
Liberia,10832,-9.429499,7.828055
Libyan Arab Jamahiriya,4007,13.12,32.58
Saint Lucia,6752,-60.9789,15.3094
Sri Lanka,6248,80.771797,9.273054
Lesotho,16355,28.2336,-28.21
Lithuania,11798,23.8813,56.5694
Luxembourg,7853,6.1296,51.2153
Latvia,13142,24.6032,58.2796
Morocco,5279,-7.0926,33.1917
Moldova,12053,28.3699,48.8116
Madagascar,7429,46.869107,-17.366947
Maldives,2855,73.2207,4.6028
Mexico,5162,-99.7233,20.8969
Marshall Islands,7028,171.1845,8.5315
"Macedonia, the Former Yugoslav Republic of",9330,21.26,42
Mali,11070,-3.996166,18.970692
Malta,7706,14.3754,37.3375
Myanmar,9283,96.06,19.45
Montenegro,9295,19.37439,44.108678
Mongolia,8152,103.8467,48.2625
Mozambique,12954,35.529562,-17.265695
Mauritania,6797,-10.9408,22.4079
Mauritius,7232,57.552152,-18.948404
Malawi,12675,34.3015,-11.8543
Malaysia,4711,101.975766,5.610484
Namibia,8550,18.4904,-21.5576
Niger,11513,8.081666,19.007789
Nigeria,10337,8.6753,10.482
Nicaragua,4448,-85.207229,14.265416
Netherlands,8480,4.918688,54.000906
Norway,8767,8.4689,61.872
Nepal,5503,84.25,29.5667
New Zealand,6888,174.886,-39.5006
Oman,2850,55.923255,22.912583
Pakistan,7171,73.121219,35.065087
Panama,4717,-80.7821,9.938
Peru,4463,-76.604498,-10.366533
Philippines,5128,121.774017,14.279721
Papua New Guinea,9487,143.95555,-4.914993
Poland,9939,19.1451,53.3194
"Korea, Democratic People's Republic of",8446,125.3,39
Portugal,10274,-8.2245,40.7999
Paraguay,5219,-58.4438,-22.0425
Occupied Palestinian Territory,3497,35.13,31.47
Qatar,1421,51.1839,26.7548
Romania,11939,24.9668,47.3432
Russian Federation,14157,37.35,55.45
Rwanda,6975,29.8739,-0.5403
Saudi Arabia,2863,45.079162,25.285942
Sudan,5796,30.2176,14.2628
Senegal,6136,-14.4524,15.8974
Singapore,4016,103.8333,2.6833
Solomon Islands,7939,160.1562,-8.2457
Sierra Leone,9120,-11.779889,9.860555
El Salvador,5970,-88.8965,15.1942
Somalia,11414,46.199616,6.552149
Serbia,9761,21.0059,45.4165
Sao Tome and Principe,5272,6.6131,1.5864
Suriname,5935,-56.0278,5.3193
Slovakia,9909,19.699,50.069
Slovenia,9356,14.9955,47.5512
Sweden,9909,18.1384,61.0025
Swaziland,14432,31.08,-26.19
Seychelles,6089,55.492,-3.2796
Syrian Arab Republic,3022,36.19,33.3
Chad,12544,18.7322,16.8542
Togo,9163,0.8248,10.0195
Thailand,7271,100.992541,17.270032
Tajikistan,5824,71.2761,40.261
Turkmenistan,6127,58.24,37.58
Timor-Leste,5373,125.727539,-7.474217
Tonga,6833,-175.12,-21.8
Trinidad and Tobago,8110,-61.2225,12.0918
Tunisia,4807,9.537499,35.286917
Turkey,4991,35.2433,40.3637
Taiwan,6609,121.56,25.03
"Tanzania, United Republic of",8538,35.45,-6.11
Uganda,8333,32.290275,2.773333
Ukraine,15393,30.5234,51.8501
Uruguay,9553,-55.7658,-31.1228
United States,8692,-77.02,38.53
Uzbekistan,6430,64.585262,42.777491
Saint Vincent and the Grenadines,6804,-61.2872,14.3843
Venezuela,5005,-66.5897,7.8238
Viet Nam,5021,105.53,21.01
Vanuatu,7345,166.9592,-13.9767
Samoa,6016,-172.1046,-12.359
Yemen,6074,48.516388,16.952727
South Africa,10274,22.9375,-29.1595
Zambia,11244,27.849332,-11.733897
Zimbabwe,12649,29.154857,-17.615438
